Country,Life Expectancy,GDP per Capita,Population
Afghanistan,66,1358,40578846
Albania,79,12978,2827615
Algeria,76,13506,45477391
Angola,64,6119,35635028
Argentina,76,18292,45407904
Armenia,75,13838,2880883
Australia,83,52049,26200987
Austria,81,43793,9064679
Azerbaijan,74,17683,10295307
Bahrain,81,38652,1533459
Bangladesh,74,4926,169384890
Barbados,76,11546,282324
Belarus,74,18700,9173241
Belgium,81,41872,11641813
Benin,60,2477,13759507
Bolivia,67,6481,12077155
Bosnia and Herzegovina,77,12143,3204805
Botswana,69,16352,2439895
Brazil,75,14640,210306411
Bulgaria,74,20592,6825863
Burkina Faso,61,1705,22509037
Burundi,63,717,13321101
Cambodia,71,3944,17201717
Cameroon,62,2812,27632771
Canada,81,45530,38821260
Cape Verde,76,7203,519750
Central African Republic,19,596,5098038
Chad,55,1394,18455319
Chile,79,22741,19553032
China,78,19238,1425179562
Colombia,77,14469,51737944
Comoros,66,1900,834192
Congo,65,4188,6035107
Costa Rica,79,15497,5081765
Cote d'Ivoire,62,4012,30395003
Croatia,78,26987,3907031
Cuba,78,7649,11059821
Cyprus,80,31523,1331376
Czechia,79,32247,10673216
Democratic Republic of Congo,61,844,102396974
Denmark,81,50690,5902898
Djibouti,66,3623,1137100
Dominica,71,8880,66850
Dominican Republic,74,17714,11230734
Ecuador,77,10124,17823900
Egypt,71,13205,112618251
El Salvador,72,9219,6280316
Equatorial Guinea,63,22707,1803550
Estonia,78,30067,1350092
Eswatini,63,8522,1218921
Ethiopia,67,2289,125384285
Finland,81,40701,5569299
France,82,39066,66277412
Gabon,68,15721,2430752
Gambia,65,2011,2636473
Georgia,74,14360,3794783
Germany,81,46648,84086228
Ghana,65,4242,33149151
Greece,80,25284,10412481
Guatemala,71,7969,17847877
Guinea,60,1809,14055137
Guinea-Bissau,64,1625,2105537
Haiti,64,1546,11503604
Honduras,73,5187,10463881
Hong Kong,83,48289,7465914
Hungary,76,29452,9684306
Iceland,82,42146,380368
India,72,7766,1425423212
Indonesia,71,12802,278830529
Iran,77,18473,89524247
Iraq,72,13072,44070556
Ireland,82,60257,5110013
Israel,83,36649,9103144
Italy,82,36224,59619106
Jamaica,71,7482,2839151
Japan,84,38269,124997586
Jordan,77,9151,11256268
Kazakhstan,74,26492,20034612
Kenya,64,3404,54252456
Kuwait,79,71534,4589514
Kyrgyzstan,71,5305,6955792
Laos,69,7168,7559007
Latvia,75,27220,1881058
Lebanon,78,10341,5744494
Lesotho,57,2313,2286112
Liberia,62,811,5373296
Libya,74,12755,7223804
Lithuania,75,30863,2816922
Luxembourg,82,55485,653316
Madagascar,63,1367,30437263
Malawi,66,1190,20568731
Malaysia,75,26629,34695494
Mali,60,1652,23072639
Malta,82,34496,528194
Mauritania,68,3680,4875645
Mauritius,74,20643,1276134
Mexico,74,16235,128613113
Moldova,72,6675,3039987
Mongolia,72,13443,3386015
Montenegro,76,20942,614650
Morocco,75,8400,37329069
Mozambique,63,1088,32656240
Myanmar,67,5177,53756790
Namibia,64,7979,2889668
Nepal,70,3014,29715434
Netherlands,82,49670,17904422
New Zealand,81,38250,5131733
Nicaragua,74,5093,6730661
Niger,60,1008,25311977
Nigeria,54,5070,223150906
North Korea,74,1569,26328842
North Macedonia,77,14051,1840236
Norway,83,88366,5456795
Oman,78,47989,4730227
Pakistan,67,5532,243700667
Palestine,77,4775,5305274
Panama,79,23557,4400772
Paraguay,72,8763,6760461
Peru,77,12763,33475435
Philippines,69,8371,113964342
Poland,78,32468,38385734
Portugal,81,28992,10417075
Puerto Rico,79,35281,3240971
Qatar,82,149171,2892465
Romania,75,26198,19166776
Russia,73,25437,145579890
Rwanda,68,2198,13651026
Saint Lucia,73,10452,178794
Sao Tome and Principe,69,3752,226313
Saudi Arabia,77,53517,32175352
Senegal,68,2661,17651099
Serbia,75,17098,6791218
Seychelles,71,31055,125532
Sierra Leone,61,1690,8276808
Singapore,83,80320,5649886
Slovakia,77,27519,5473194
Slovenia,81,32674,2115230
South Africa,65,11416,62378419
South Korea,83,41321,51782514
Spain,82,34123,47828386
Sri Lanka,77,10705,22834964
Sweden,83,47126,10487333
Switzerland,83,63323,8792180
Syria,73,2495,22462170
Taiwan,80,53143,23420107
Tajikistan,72,5508,10182229
Tanzania,67,3057,64711821
Thailand,75,16421,71735320
Togo,62,1587,9089742
Trinidad and Tobago,73,25773,1495922
Tunisia,76,10914,12119336
Turkey,78,27362,87058470
Turkmenistan,70,17235,7230198
Uganda,68,2122,47312718
Ukraine,73,7749,41048767
United Arab Emirates,80,77204,10242085
United Kingdom,81,38407,68179315
United States,78,58487,341534041
Uruguay,76,20182,3390913
Uzbekistan,72,12559,34938955
Venezuela,73,5267,28213016
Vietnam,75,8050,99680656
Yemen,68,1959,38222880
Zambia,65,3342,20152934
Zimbabwe,62,1704,16069061
