"state","acclength","areacode","interplan","vmailplan","vmailmess","daycalls","daycharge","evecalls","evecharge","nightcalls","nightcharge","intlcalls","intlcharge","custservcalls","churn"
"KS",128,415,"no","yes",25,110,45.07,99,16.78,91,11.01,3,2.7,1,"no"
"OH",107,415,"no","yes",26,123,27.47,103,16.62,103,11.45,3,3.7,1,"no"
"NJ",137,415,"no","no",0,114,41.38,110,10.3,104,7.32,5,3.29,0,"no"
"OK",75,415,"yes","no",0,113,28.34,122,12.61,121,8.41,3,2.73,3,"no"
"AL",118,510,"yes","no",0,98,37.98,101,18.75,118,9.18,6,1.7,0,"no"
"MO",147,415,"yes","no",0,79,26.69,94,8.76,96,9.53,6,1.92,0,"no"
"WV",141,415,"yes","yes",37,84,43.96,111,18.87,97,14.69,5,3.02,0,"no"
"RI",74,415,"no","no",0,127,31.91,148,13.89,94,8.82,5,2.46,0,"no"
"IA",168,408,"no","no",0,96,21.9,71,8.92,128,6.35,2,3.02,1,"no"
"MT",95,510,"no","no",0,88,26.62,75,21.05,115,8.65,5,3.32,3,"no"
"ID",85,408,"no","yes",27,139,33.39,90,23.88,75,4.02,4,3.73,1,"no"
"VT",93,510,"no","no",0,114,32.42,111,18.55,121,5.83,3,2.19,3,"no"
"VA",76,510,"no","yes",33,66,32.25,65,18.09,108,7.46,5,2.7,1,"no"
"TX",73,415,"no","no",0,90,38.15,88,13.56,74,8.68,2,3.51,1,"no"
"FL",147,415,"no","no",0,117,26.37,93,20.37,133,9.4,4,2.86,0,"no"
"SC",111,415,"no","no",0,103,18.77,102,11.67,105,8.53,6,2.08,2,"no"
"VA",132,510,"no","no",0,86,13.79,72,20.84,115,10.67,2,2.78,0,"no"
"NE",174,415,"no","no",0,76,21.13,112,23.55,115,11.28,5,4.19,3,"no"
"WY",57,408,"no","yes",39,115,36.21,112,16.24,115,8.22,3,2.57,0,"no"
"MT",54,408,"no","no",0,73,22.83,100,13.22,68,4.59,4,3.97,3,"no"
"MO",20,415,"no","no",0,109,32.3,84,21.95,102,8.17,6,1.7,0,"no"
"HI",49,510,"no","no",0,117,20.28,109,18.28,90,8.04,1,3,1,"no"
"IL",142,415,"no","no",0,95,14.42,63,11.62,148,11.27,6,3.83,2,"no"
"NH",75,510,"no","no",0,105,38.44,107,17.13,98,11.08,5,2.78,1,"no"
"AZ",12,408,"no","no",0,118,42.43,119,21.45,90,12.61,3,3.19,1,"yes"
"OK",57,408,"no","yes",25,94,30.06,75,16.58,116,9.61,4,2.24,0,"no"
"GA",72,415,"no","yes",37,80,37.4,102,18.47,71,6.88,6,3.97,3,"no"
"AK",36,408,"no","yes",30,128,24.87,80,13.81,109,5.82,6,3.92,0,"no"
"MA",78,415,"no","no",0,64,22.24,116,19.01,108,10.25,5,2.7,1,"no"
"AK",136,415,"yes","yes",33,106,34.66,99,15.95,107,4.58,6,2.84,3,"no"
