Title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Running time,Budget,Box office,Production companies,Screenplay by,Story by,Release date,Countries,Languages,Rotten Tomatoes
Howard the Duck,Willard Huyck,['Willard Huyck Gloria Katz'],Howard the Duck by  Steve Gerber,['Gloria Katz'],"['Lea Thompson', 'Jeffrey Jones', 'Tim Robbins']",Richard H. Kline,['Michael Chandler Sidney Wolinsky'],"['John Barry', 'Sylvester Levay', 'Songs:', 'Thomas Dolby']",Universal Pictures,111,30000000.0,38000000.0,['Lucasfilm'],,,1986-08-01,United States,English,14.0
Blade,Stephen Norrington,['David S. Goyer'],Blade by  Marv Wolfman Gene Colan,"['Peter Frankfurt', 'Wesley Snipes', 'Robert Engelman']","['Wesley Snipes', 'Stephen Dorff', 'Kris Kristofferson', ""N'Bushe Wright"", 'Donal Logue']",Theo van de Sande,['Paul Rubell'],['Mark Isham'],New Line Cinema,120,45000000.0,131199999.99999999,"['Marvel Enterprises', 'Amen Ra Films', 'Imaginary Forces']",,,1998-08-21,United States,English,57.0
X-Men,Bryan Singer,,X-Men by  Stan Lee Jack Kirby,"['Lauren Shuler Donner', 'Ralph Winter']","['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen', 'James Marsden', 'Bruce Davison', 'Rebecca Romijn-Stamos', 'Ray Park', 'Anna Paquin']",Newton Thomas Sigel,"['Steven Rosenblum', 'Kevin Stitt', 'John Wright']",['Michael Kamen'],20th Century Fox,104,75000000.0,296300000.0,"['Marvel Entertainment Group', ""The Donners' Company"", 'Bad Hat Harry Productions']",David Hayter,"['Tom DeSanto', 'Bryan Singer']",2000-07-12,United States,English,82.0
Blade II,Guillermo del Toro,['David S. Goyer'],Blade by  Marv Wolfman Gene Colan,"['Peter Frankfurt', 'Wesley Snipes', 'Patrick Palmer']","['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman', 'Leonor Varela', 'Norman Reedus', 'Luke Goss']",Gabriel Beristain,['Peter Amundson'],['Marco Beltrami'],New Line Cinema,117,54000000.0,155000000.0,"['Marvel Enterprises', 'Amen Ra Films', 'Imaginary Forces']",,,2002-03-22,United States,English,58.0
Spider-Man,Sam Raimi,,Spider-Man by  Stan Lee Steve Ditko,"['Laura Ziskin', 'Ian Bryce']","['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson', 'Rosemary Harris']",Don Burgess,"['Bob Murawski', 'Arthur Coburn']",['Danny Elfman'],Sony Pictures Releasing,121,139000000.0,825000000.0,"['Columbia Pictures', 'Marvel Enterprises', 'Laura Ziskin Productions']",David Koepp,,2002-04-29,United States,English,90.0
Daredevil,Mark Steven Johnson,,Daredevil by  Stan Lee Bill Everett,"['Arnon Milchan', 'Gary Foster', 'Avi Arad']","['Ben Affleck', 'Jennifer Garner', 'Michael Clarke Duncan', 'Colin Farrell', 'Joe Pantoliano', 'Jon Favreau', 'David Keith']",Ericson Core,"['Dennis Virkler', 'Armen Minasian']",['Graeme Revell'],20th Century Fox,103,78000000.0,179200000.0,"['New Regency Enterprises', 'Marvel Enterprises', 'Horseshoe Bay Productions']",Mark Steven Johnson,,2003-02-14,United States,English,
X2,Bryan Singer,,X-Men by  Stan Lee Jack Kirby,"['Lauren Shuler Donner', 'Ralph Winter']","['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen', 'James Marsden', 'Rebecca Romijn-Stamos', 'Brian Cox', 'Alan Cumming', 'Bruce Davison', 'Anna Paquin']",Newton Thomas Sigel,"['John Ottman', 'Elliot Graham']",['John Ottman'],20th Century Fox,134,110000000.0,407700000.0,"['Marvel Enterprises', ""The Donners' Company"", 'Bad Hat Harry Productions']","
 Michael Dougherty 
 Dan Harris 
 David Hayter 
","['Zak Penn', 'David Hayter', 'Bryan Singer']",2003-04-24,United States,English,85.0
Hulk,Ang Lee,,Hulk by  Stan Lee Jack Kirby,['Avi Arad Larry Franco Gale Anne Hurd James Schamus'],"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott', 'Josh Lucas', 'Nick Nolte']",Frederick Elmes,['Tim Squyres'],['Danny Elfman'],Universal Pictures,138,137000000.0,245400000.0,"['Universal Pictures', 'Marvel Studios', 'Valhalla Motion Pictures', 'Good Machine']",James Schamus Michael France John Turman,['James Schamus'],2003-06-20,United States,English,62.0
The Punisher,Jonathan Hensleigh,"['Jonathan Hensleigh', 'Michael France']",Punisher by  Gerry Conway Ross Andru John Romita Sr.,"['Avi Arad', 'Gale Anne Hurd']","['Thomas Jane', 'John Travolta', 'Will Patton', 'Roy Scheider', 'Laura Harring', 'Ben Foster', 'Rebecca Romijn-Stamos']",Conrad W. Hall,"['Steven Kemper', 'Jeff Gullo']",['Carlo Siliotto'],"
 Lions Gate Films  (North America) 
 Summit Entertainment 
 CTFDI  (International) 
",123,33000000.0,54700000.0,"['Lions Gate Films', 'Marvel Entertainment']",,,2004-04-16,United States,English,
Spider-Man 2,Sam Raimi,,Spider-Man by  Stan Lee Steve Ditko,"['Laura Ziskin', 'Avi Arad']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris', 'Donna Murphy']",Bill Pope,['Bob Murawski'],['Danny Elfman'],Sony Pictures Releasing,127,200000000.0,789000000.0,"['Columbia Pictures', 'Marvel Enterprises', 'Laura Ziskin Productions']",Alvin Sargent,"['Alfred Gough', 'Miles Millar', 'Michael Chabon']",2004-06-25,United States,English,93.0
